participantId,month,category,amount
140,2022-03,wage,10347
141,2022-03,expense,1969
141,2022-03,wage,3198
143,2022-03,expense,1623
143,2022-03,wage,5343
144,2022-03,expense,1843
144,2022-03,wage,3509
145,2022-03,expense,2375
145,2022-03,wage,2089
146,2022-03,expense,2043
146,2022-03,wage,3540
147,2022-03,expense,2026
147,2022-03,wage,3590
148,2022-03,expense,1415
148,2022-03,wage,10200
149,2022-03,expense,2487
149,2022-03,wage,1906
150,2022-03,expense,1560
150,2022-03,wage,9478
151,2022-03,expense,1691
151,2022-03,wage,3482
152,2022-03,expense,1857
152,2022-03,wage,3554
153,2022-03,expense,2290
153,2022-03,wage,2927
155,2022-03,expense,1496
155,2022-03,wage,11848
156,2022-03,expense,1940
156,2022-03,wage,3466
157,2022-03,expense,1381
157,2022-03,wage,11692
158,2022-03,expense,1991
158,2022-03,wage,7717
159,2022-03,expense,1364
159,2022-03,wage,5329
160,2022-03,expense,1192
160,2022-03,wage,9182
162,2022-03,expense,2201
162,2022-03,wage,2602
163,2022-03,expense,1993
163,2022-03,wage,5331
164,2022-03,expense,2765
164,2022-03,wage,4656
165,2022-03,expense,2470
165,2022-03,wage,6280
166,2022-03,expense,1828
166,2022-03,wage,3443
167,2022-03,expense,2690
167,2022-03,wage,3416
168,2022-03,expense,1181
168,2022-03,wage,6644
169,2022-03,expense,1585
169,2022-03,wage,3392
170,2022-03,expense,1419
170,2022-03,wage,9024
171,2022-03,expense,903
171,2022-03,wage,3677
172,2022-03,expense,1432
172,2022-03,wage,6318
173,2022-03,expense,2016
173,2022-03,wage,6057
174,2022-03,expense,1758
174,2022-03,wage,1782
175,2022-03,expense,1396
175,2022-03,wage,3331
176,2022-03,expense,1910
176,2022-03,wage,3476
177,2022-03,expense,1345
177,2022-03,wage,3294
178,2022-03,expense,781
178,2022-03,wage,4024
179,2022-03,expense,2578
179,2022-03,wage,2231
180,2022-03,expense,884
180,2022-03,wage,3266
181,2022-03,expense,1738
181,2022-03,wage,1857
182,2022-03,expense,1670
182,2022-03,wage,2092
183,2022-03,expense,944
183,2022-03,wage,11266
184,2022-03,expense,2178
184,2022-03,wage,2309
185,2022-03,expense,753
185,2022-03,wage,5292
186,2022-03,expense,1086
186,2022-03,wage,4513
187,2022-03,expense,672
187,2022-03,wage,3312
188,2022-03,expense,1113
188,2022-03,wage,6739
189,2022-03,expense,574
189,2022-03,wage,10487
190,2022-03,expense,1599
190,2022-03,wage,6727
191,2022-03,expense,1200
191,2022-03,wage,3270
192,2022-03,expense,608
192,2022-03,wage,5216
193,2022-03,expense,1591
193,2022-03,wage,5757
194,2022-03,expense,587
194,2022-03,wage,9019
195,2022-03,expense,653
195,2022-03,wage,10594
196,2022-03,expense,1229
196,2022-03,wage,2661
197,2022-03,expense,1875
197,2022-03,wage,2556
198,2022-03,expense,671
198,2022-03,wage,8727
199,2022-03,expense,1247
199,2022-03,wage,3157
200,2022-03,expense,655
200,2022-03,wage,10404
201,2022-03,expense,651
201,2022-03,wage,5093
202,2022-03,expense,1939
202,2022-03,wage,2771
203,2022-03,expense,2042
203,2022-03,wage,2355
204,2022-03,expense,676
204,2022-03,wage,3101
205,2022-03,expense,1025
205,2022-03,wage,5091
206,2022-03,expense,1469
206,2022-03,wage,3179
207,2022-03,expense,806
207,2022-03,wage,4664
208,2022-03,expense,1476
208,2022-03,wage,3124
209,2022-03,expense,591
209,2022-03,wage,5020
210,2022-03,expense,1934
210,2022-03,wage,1859
211,2022-03,expense,606
211,2022-03,wage,8331
212,2022-03,expense,2168
212,2022-03,wage,1822
213,2022-03,expense,840
213,2022-03,wage,3574
214,2022-03,expense,626
214,2022-03,wage,4890
215,2022-03,expense,608
215,2022-03,wage,8481
216,2022-03,expense,610
216,2022-03,wage,4921
217,2022-03,expense,2110
217,2022-03,wage,2009
218,2022-03,expense,2393
218,2022-03,wage,1840
219,2022-03,expense,933
219,2022-03,wage,2368
220,2022-03,expense,1873
220,2022-03,wage,5350
221,2022-03,expense,1250
221,2022-03,wage,2721
222,2022-03,expense,1405
222,2022-03,wage,3110
223,2022-03,expense,2071
223,2022-03,wage,3086
224,2022-03,expense,696
224,2022-03,wage,3058
225,2022-03,expense,522
225,2022-03,wage,4896
226,2022-03,expense,1483
226,2022-03,wage,5124
227,2022-03,expense,1302
227,2022-03,wage,3139
228,2022-03,expense,787
228,2022-03,wage,8377
229,2022-03,expense,910
229,2022-03,wage,5450
230,2022-03,expense,773
230,2022-03,wage,8275
231,2022-03,expense,1973
231,2022-03,wage,1858
232,2022-03,expense,1928
232,2022-03,wage,1840
233,2022-03,expense,677
233,2022-03,wage,10181
234,2022-03,expense,1268
234,2022-03,wage,6048
235,2022-03,expense,893
235,2022-03,wage,4204
236,2022-03,expense,738
236,2022-03,wage,3146
237,2022-03,expense,735
237,2022-03,wage,10087
238,2022-03,expense,737
238,2022-03,wage,2985
239,2022-03,expense,1939
239,2022-03,wage,1760
240,2022-03,expense,1479
240,2022-03,wage,6107
241,2022-03,expense,713
241,2022-03,wage,4836
242,2022-03,expense,1348
242,2022-03,wage,10021
243,2022-03,expense,1698
243,2022-03,wage,1840
244,2022-03,expense,1795
244,2022-03,wage,2710
245,2022-03,expense,1678
245,2022-03,wage,5689
246,2022-03,expense,1907
246,2022-03,wage,1840
247,2022-03,expense,1790
247,2022-03,wage,1859
248,2022-03,expense,679
248,2022-03,wage,8191
249,2022-03,expense,1641
249,2022-03,wage,3621
250,2022-03,expense,1560
250,2022-03,wage,3077
251,2022-03,expense,1275
251,2022-03,wage,3030
252,2022-03,expense,1572
252,2022-03,wage,4764
253,2022-03,expense,2286
253,2022-03,wage,9856
254,2022-03,expense,1670
254,2022-03,wage,7714
255,2022-03,expense,2162
255,2022-03,wage,1933
257,2022-03,expense,1975
257,2022-03,wage,4651
258,2022-03,expense,2391
258,2022-03,wage,2584
259,2022-03,expense,1292
259,2022-03,wage,4795
260,2022-03,expense,1701
260,2022-03,wage,8783
261,2022-03,expense,1951
261,2022-03,wage,4361
263,2022-03,expense,1336
263,2022-03,wage,4786
264,2022-03,expense,1648
264,2022-03,wage,4578
265,2022-03,expense,1132
265,2022-03,wage,8028
266,2022-03,expense,3205
266,2022-03,wage,5285
268,2022-03,expense,1281
268,2022-03,wage,4826
269,2022-03,expense,1993
269,2022-03,wage,4545
270,2022-03,expense,1607
270,2022-03,wage,4556
271,2022-03,expense,1870
271,2022-03,wage,4422
272,2022-03,expense,2841
272,2022-03,wage,3234
273,2022-03,expense,2342
273,2022-03,wage,2271
274,2022-03,expense,1984
274,2022-03,wage,2927
275,2022-03,expense,1389
275,2022-03,wage,4741
276,2022-03,expense,1489
276,2022-03,wage,7795
277,2022-03,expense,2246
277,2022-03,wage,2667
278,2022-03,expense,1552
278,2022-03,wage,7507
280,2022-03,expense,1314
280,2022-03,wage,7514
281,2022-03,expense,1721
281,2022-03,wage,4257
282,2022-03,expense,1507
282,2022-03,wage,4610
283,2022-03,expense,2565
283,2022-03,wage,6304
284,2022-03,expense,2397
284,2022-03,wage,2011
286,2022-03,expense,2033
286,2022-03,wage,4139
287,2022-03,expense,2009
287,2022-03,wage,3578
289,2022-03,expense,2550
289,2022-03,wage,6369
290,2022-03,expense,2269
290,2022-03,wage,9823
291,2022-03,expense,1925
291,2022-03,wage,2527
292,2022-03,expense,2309
292,2022-03,wage,2941
293,2022-03,expense,1535
293,2022-03,wage,4574
294,2022-03,expense,2206
294,2022-03,wage,2103
295,2022-03,expense,2206
295,2022-03,wage,8349
296,2022-03,expense,2060
296,2022-03,wage,8003
297,2022-03,expense,1205
297,2022-03,wage,4529
299,2022-03,expense,1969
299,2022-03,wage,3865
300,2022-03,expense,1513
300,2022-03,wage,4479
302,2022-03,expense,1249
302,2022-03,wage,4510
303,2022-03,expense,2031
303,2022-03,wage,7695
304,2022-03,expense,1230
304,2022-03,wage,4313
305,2022-03,expense,2845
305,2022-03,wage,3871
306,2022-03,expense,1654
306,2022-03,wage,4440
307,2022-03,expense,2781
307,2022-03,wage,2645
308,2022-03,expense,1482
308,2022-03,wage,4423
309,2022-03,expense,1847
309,2022-03,wage,4230
310,2022-03,expense,1418
310,2022-03,wage,4140
311,2022-03,expense,2124
311,2022-03,wage,2292
312,2022-03,expense,1379
312,2022-03,wage,4277
313,2022-03,expense,1362
313,2022-03,wage,2914
314,2022-03,expense,2113
314,2022-03,wage,3800
315,2022-03,expense,1603
315,2022-03,wage,8625
316,2022-03,expense,1372
316,2022-03,wage,4169
317,2022-03,expense,1906
317,2022-03,wage,2761
318,2022-03,expense,2533
318,2022-03,wage,3745
319,2022-03,expense,1707
319,2022-03,wage,2686
320,2022-03,expense,2077
320,2022-03,wage,6716
321,2022-03,expense,2904
321,2022-03,wage,5107
322,2022-03,expense,2301
322,2022-03,wage,3521
323,2022-03,expense,2889
323,2022-03,wage,6502
324,2022-03,expense,1588
324,2022-03,wage,4138
325,2022-03,expense,1729
325,2022-03,wage,3671
326,2022-03,expense,2075
326,2022-03,wage,6454
327,2022-03,expense,1244
327,2022-03,wage,4178
328,2022-03,expense,1822
328,2022-03,wage,2596
329,2022-03,expense,1217
329,2022-03,wage,7466
330,2022-03,expense,2182
330,2022-03,wage,3180
331,2022-03,expense,1818
331,2022-03,wage,7061
332,2022-03,expense,1526
332,2022-03,wage,7375
333,2022-03,expense,1211
333,2022-03,wage,7246
334,2022-03,expense,1652
334,2022-03,wage,7094
335,2022-03,expense,1590
335,2022-03,wage,8488
336,2022-03,expense,1853
336,2022-03,wage,6471
337,2022-03,expense,1188
337,2022-03,wage,8442
338,2022-03,expense,3083
338,2022-03,wage,2322
339,2022-03,expense,1371
339,2022-03,wage,7068
340,2022-03,expense,1432
340,2022-03,wage,8309
341,2022-03,expense,1681
341,2022-03,wage,4031
342,2022-03,expense,1545
342,2022-03,wage,3615
343,2022-03,expense,1244
343,2022-03,wage,6456
344,2022-03,expense,1283
344,2022-03,wage,3993
345,2022-03,expense,1977
345,2022-03,wage,6292
347,2022-03,expense,1627
347,2022-03,wage,6503
348,2022-03,expense,1839
348,2022-03,wage,3542
349,2022-03,expense,1711
349,2022-03,wage,3165
350,2022-03,expense,1963
350,2022-03,wage,6304
351,2022-03,expense,1572
351,2022-03,wage,6414
353,2022-03,expense,1700
353,2022-03,wage,2555
354,2022-03,expense,1935
354,2022-03,wage,2582
355,2022-03,expense,2980
355,2022-03,wage,5775
357,2022-03,expense,1818
357,2022-03,wage,6188
358,2022-03,expense,2898
358,2022-03,wage,2513
359,2022-03,expense,2368
359,2022-03,wage,2272
360,2022-03,expense,1847
360,2022-03,wage,3205
361,2022-03,expense,1833
361,2022-03,wage,2666
362,2022-03,expense,2233
362,2022-03,wage,3101
363,2022-03,expense,1812
363,2022-03,wage,5790
364,2022-03,expense,1448
364,2022-03,wage,4012
365,2022-03,expense,1803
365,2022-03,wage,2445
366,2022-03,expense,1255
366,2022-03,wage,3966
367,2022-03,expense,1394
367,2022-03,wage,3952
368,2022-03,expense,1458
368,2022-03,wage,8270
369,2022-03,expense,1341
369,2022-03,wage,3938
370,2022-03,expense,2541
370,2022-03,wage,5378
371,2022-03,expense,1999
371,2022-03,wage,3377
372,2022-03,expense,2242
372,2022-03,wage,3324
373,2022-03,expense,2825
373,2022-03,wage,4472
374,2022-03,expense,2317
374,2022-03,wage,2562
375,2022-03,expense,1321
375,2022-03,wage,3851
376,2022-03,expense,1771
376,2022-03,wage,3841
377,2022-03,expense,1063
377,2022-03,wage,8125
378,2022-03,expense,2535
378,2022-03,wage,3012
379,2022-03,expense,1197
379,2022-03,wage,3837
381,2022-03,expense,2118
381,2022-03,wage,3227
385,2022-03,expense,2084
385,2022-03,wage,3186
386,2022-03,expense,2653
386,2022-03,wage,5710
387,2022-03,expense,1990
387,2022-03,wage,3173
388,2022-03,expense,2451
388,2022-03,wage,4474
389,2022-03,expense,1997
389,2022-03,wage,5110
390,2022-03,expense,2334
390,2022-03,wage,3336
391,2022-03,expense,1224
391,2022-03,wage,2658
393,2022-03,expense,2774
393,2022-03,wage,2914
394,2022-03,expense,1819
394,2022-03,wage,3161
395,2022-03,expense,2848
395,2022-03,wage,3906
396,2022-03,expense,1903
396,2022-03,wage,5605
397,2022-03,expense,2407
397,2022-03,wage,3182
398,2022-03,expense,2616
398,2022-03,wage,3991
399,2022-03,expense,1469
399,2022-03,wage,3797
400,2022-03,expense,2451
400,2022-03,wage,3139
401,2022-03,expense,1822
401,2022-03,wage,3775
402,2022-03,expense,2603
402,2022-03,wage,2112
403,2022-03,expense,2277
403,2022-03,wage,3358
404,2022-03,expense,1390
404,2022-03,wage,2545
405,2022-03,expense,2146
405,2022-03,wage,3011
408,2022-03,expense,2028
408,2022-03,wage,2646
409,2022-03,expense,1991
409,2022-03,wage,4650
410,2022-03,expense,1573
410,2022-03,wage,3795
411,2022-03,expense,2211
411,2022-03,wage,3136
412,2022-03,expense,2264
412,2022-03,wage,2146
413,2022-03,expense,1450
413,2022-03,wage,7920
414,2022-03,expense,1436
414,2022-03,wage,3588
415,2022-03,expense,1348
415,2022-03,wage,3760
416,2022-03,expense,1877
416,2022-03,wage,5841
417,2022-03,expense,1933
417,2022-03,wage,2716
418,2022-03,expense,2780
418,2022-03,wage,3086
419,2022-03,expense,2267
419,2022-03,wage,2207
420,2022-03,expense,744
420,2022-03,wage,3710
421,2022-03,expense,1499
421,2022-03,wage,5746
422,2022-03,expense,1632
422,2022-03,wage,4302
423,2022-03,expense,665
423,2022-03,wage,3704
424,2022-03,expense,1890
424,2022-03,wage,1840
425,2022-03,expense,1675
425,2022-03,wage,3101
426,2022-03,expense,1634
426,2022-03,wage,3902
427,2022-03,expense,1945
427,2022-03,wage,4761
428,2022-03,expense,695
428,2022-03,wage,3528
429,2022-03,expense,895
429,2022-03,wage,7776
430,2022-03,expense,2615
430,2022-03,wage,2431
431,2022-03,expense,1423
431,2022-03,wage,3040
432,2022-03,expense,2255
432,2022-03,wage,2307
433,2022-03,expense,690
433,2022-03,wage,6470
434,2022-03,expense,2381
434,2022-03,wage,5543
435,2022-03,expense,2356
435,2022-03,wage,1760
436,2022-03,expense,2136
436,2022-03,wage,1840
437,2022-03,expense,1403
437,2022-03,wage,2867
438,2022-03,expense,1449
438,2022-03,wage,3794
439,2022-03,expense,2850
439,2022-03,wage,2608
440,2022-03,expense,1224
440,2022-03,wage,3552
441,2022-03,expense,2037
441,2022-03,wage,1760
442,2022-03,expense,1974
442,2022-03,wage,5129
443,2022-03,expense,2169
443,2022-03,wage,1840
444,2022-03,expense,843
444,2022-03,wage,7833
445,2022-03,expense,1388
445,2022-03,wage,4943
446,2022-03,expense,990
446,2022-03,wage,7661
447,2022-03,expense,1771
447,2022-03,wage,3635
448,2022-03,expense,1654
448,2022-03,wage,3711
449,2022-03,expense,1749
449,2022-03,wage,3573
450,2022-03,expense,1377
450,2022-03,wage,2889
451,2022-03,expense,1048
451,2022-03,wage,3617
452,2022-03,expense,1928
452,2022-03,wage,1981
453,2022-03,expense,1885
453,2022-03,wage,1760
454,2022-03,expense,1041
454,2022-03,wage,6156
455,2022-03,expense,1201
455,2022-03,wage,3606
456,2022-03,expense,1893
456,2022-03,wage,1995
457,2022-03,expense,1620
457,2022-03,wage,3438
458,2022-03,expense,1266
458,2022-03,wage,3573
459,2022-03,expense,1942
459,2022-03,wage,4909
460,2022-03,expense,1660
460,2022-03,wage,2562
461,2022-03,expense,795
461,2022-03,wage,6093
462,2022-03,expense,2247
462,2022-03,wage,1840
463,2022-03,expense,1346
463,2022-03,wage,3442
464,2022-03,expense,1646
464,2022-03,wage,3303
465,2022-03,expense,1066
465,2022-03,wage,3414
466,2022-03,expense,1061
466,2022-03,wage,3567
467,2022-03,expense,1772
467,2022-03,wage,2881
468,2022-03,expense,1682
468,2022-03,wage,2847
469,2022-03,expense,1434
469,2022-03,wage,4918
470,2022-03,expense,1192
470,2022-03,wage,2623
471,2022-03,expense,594
471,2022-03,wage,7538
472,2022-03,expense,1879
472,2022-03,wage,2390
473,2022-03,expense,1949
473,2022-03,wage,4814
474,2022-03,expense,616
474,2022-03,wage,7516
475,2022-03,expense,1705
475,2022-03,wage,7221
476,2022-03,expense,1196
476,2022-03,wage,3394
477,2022-03,expense,1414
477,2022-03,wage,2810
478,2022-03,expense,1204
478,2022-03,wage,4800
479,2022-03,expense,2262
479,2022-03,wage,1699
480,2022-03,expense,1066
480,2022-03,wage,3538
481,2022-03,expense,1921
481,2022-03,wage,2401
482,2022-03,expense,969
482,2022-03,wage,3525
483,2022-03,expense,1598
483,2022-03,wage,7097
484,2022-03,expense,2476
484,2022-03,wage,2718
485,2022-03,expense,1199
485,2022-03,wage,2528
486,2022-03,expense,887
486,2022-03,wage,2326
487,2022-03,expense,1608
487,2022-03,wage,4667
488,2022-03,expense,2069
488,2022-03,wage,1903
489,2022-03,expense,951
489,2022-03,wage,6082
490,2022-03,expense,851
490,2022-03,wage,3561
491,2022-03,expense,1429
491,2022-03,wage,4487
492,2022-03,expense,1548
492,2022-03,wage,4324
493,2022-03,expense,1962
493,2022-03,wage,4509
494,2022-03,expense,763
494,2022-03,wage,3532
495,2022-03,expense,1833
495,2022-03,wage,2803
496,2022-03,expense,872
496,2022-03,wage,3318
497,2022-03,expense,2734
497,2022-03,wage,1840
498,2022-03,expense,2031
498,2022-03,wage,2763
499,2022-03,expense,1682
499,2022-03,wage,7053
500,2022-03,expense,1242
500,2022-03,wage,3461
501,2022-03,expense,2275
501,2022-03,wage,2643
502,2022-03,expense,2061
502,2022-03,wage,2788
503,2022-03,expense,2577
503,2022-03,wage,1859
504,2022-03,expense,1326
504,2022-03,wage,3452
505,2022-03,expense,2279
505,2022-03,wage,3433
506,2022-03,expense,1981
506,2022-03,wage,7023
507,2022-03,expense,1679
507,2022-03,wage,2204
508,2022-03,expense,2513
508,2022-03,wage,2947
511,2022-03,expense,1507
511,2022-03,wage,3409
513,2022-03,expense,1632
513,2022-03,wage,3434
515,2022-03,expense,1635
515,2022-03,wage,3332
516,2022-03,expense,2292
516,2022-03,wage,3047
517,2022-03,expense,1837
517,2022-03,wage,3177
518,2022-03,expense,2087
518,2022-03,wage,3138
519,2022-03,expense,2893
519,2022-03,wage,2368
520,2022-03,expense,1502
520,2022-03,wage,5895
521,2022-03,expense,1704
521,2022-03,wage,3042
522,2022-03,expense,1393
522,2022-03,wage,2301
524,2022-03,expense,1342
524,2022-03,wage,5887
525,2022-03,expense,1349
525,2022-03,wage,3229
527,2022-03,expense,2215
527,2022-03,wage,2693
528,2022-03,expense,1135
528,2022-03,wage,3344
529,2022-03,expense,1876
529,2022-03,wage,6642
530,2022-03,expense,2265
530,2022-03,wage,2942
531,2022-03,expense,1544
531,2022-03,wage,3338
532,2022-03,expense,1790
532,2022-03,wage,6839
533,2022-03,expense,2385
533,2022-03,wage,2930
534,2022-03,expense,1610
534,2022-03,wage,5854
535,2022-03,expense,2068
535,2022-03,wage,5790
536,2022-03,expense,1797
536,2022-03,wage,3331
537,2022-03,expense,2429
537,2022-03,wage,2428
538,2022-03,expense,2140
538,2022-03,wage,5778
540,2022-03,expense,2582
540,2022-03,wage,2401
542,2022-03,expense,1636
542,2022-03,wage,5832
543,2022-03,expense,2493
543,2022-03,wage,2914
544,2022-03,expense,1824
544,2022-03,wage,5688
545,2022-03,expense,2431
545,2022-03,wage,2931
546,2022-03,expense,1510
546,2022-03,wage,5755
547,2022-03,expense,1375
547,2022-03,wage,5745
548,2022-03,expense,1649
548,2022-03,wage,5745
549,2022-03,expense,1733
549,2022-03,wage,3320
550,2022-03,expense,2387
550,2022-03,wage,2891
551,2022-03,expense,2469
551,2022-03,wage,6572
552,2022-03,expense,1336
552,2022-03,wage,6607
554,2022-03,expense,2237
554,2022-03,wage,2849
555,2022-03,expense,2613
555,2022-03,wage,2792
556,2022-03,expense,2334
556,2022-03,wage,2528
557,2022-03,expense,1939
557,2022-03,wage,2755
559,2022-03,expense,2583
559,2022-03,wage,3296
560,2022-03,expense,1577
560,2022-03,wage,3286
561,2022-03,expense,1630
561,2022-03,wage,3256
562,2022-03,expense,1668
562,2022-03,wage,5691
563,2022-03,expense,3041
563,2022-03,wage,5204
564,2022-03,expense,2307
564,2022-03,wage,2602
565,2022-03,expense,2321
565,2022-03,wage,3214
566,2022-03,expense,1838
566,2022-03,wage,2790
569,2022-03,expense,2157
569,2022-03,wage,2698
570,2022-03,expense,2567
570,2022-03,wage,5381
571,2022-03,expense,2372
571,2022-03,wage,2672
573,2022-03,expense,2253
573,2022-03,wage,2322
576,2022-03,expense,1918
576,2022-03,wage,3409
578,2022-03,expense,2607
